date_id,date,day_of_week,month,year
20220912,2022-09-12,Monday,September,2022
20221130,2022-11-30,Wednesday,November,2022
20221030,2022-10-30,Sunday,October,2022
20220210,2022-02-10,Thursday,February,2022
20221119,2022-11-19,Saturday,November,2022
20220611,2022-06-11,Saturday,June,2022
20221016,2022-10-16,Sunday,October,2022
20220524,2022-05-24,Tuesday,May,2022
20220626,2022-06-26,Sunday,June,2022
20220221,2022-02-21,Monday,February,2022
20220621,2022-06-21,Tuesday,June,2022
20220517,2022-05-17,Tuesday,May,2022
20221229,2022-12-29,Thursday,December,2022
20221031,2022-10-31,Monday,October,2022
20221013,2022-10-13,Thursday,October,2022
20221117,2022-11-17,Thursday,November,2022
20220222,2022-02-22,Tuesday,February,2022
20221214,2022-12-14,Wednesday,December,2022
20220619,2022-06-19,Sunday,June,2022
20220227,2022-02-27,Sunday,February,2022
20220331,2022-03-31,Thursday,March,2022
20221228,2022-12-28,Wednesday,December,2022
20220326,2022-03-26,Saturday,March,2022
20220115,2022-01-15,Saturday,January,2022
20221030,2022-10-30,Sunday,October,2022
20220520,2022-05-20,Friday,May,2022
20221004,2022-10-04,Tuesday,October,2022
20221116,2022-11-16,Wednesday,November,2022
20220227,2022-02-27,Sunday,February,2022
20221019,2022-10-19,Wednesday,October,2022
20221202,2022-12-02,Friday,December,2022
20221006,2022-10-06,Thursday,October,2022
20221128,2022-11-28,Monday,November,2022
20220402,2022-04-02,Saturday,April,2022
20220420,2022-04-20,Wednesday,April,2022
20220728,2022-07-28,Thursday,July,2022
20220822,2022-08-22,Monday,August,2022
20220818,2022-08-18,Thursday,August,2022
20221010,2022-10-10,Monday,October,2022
20220430,2022-04-30,Saturday,April,2022
20220724,2022-07-24,Sunday,July,2022
20221012,2022-10-12,Wednesday,October,2022
20221120,2022-11-20,Sunday,November,2022
20220602,2022-06-02,Thursday,June,2022
20221111,2022-11-11,Friday,November,2022
20221123,2022-11-23,Wednesday,November,2022
20220911,2022-09-11,Sunday,September,2022
20220928,2022-09-28,Wednesday,September,2022
20221225,2022-12-25,Sunday,December,2022
20221004,2022-10-04,Tuesday,October,2022
20221125,2022-11-25,Friday,November,2022
20220223,2022-02-23,Wednesday,February,2022
20221122,2022-11-22,Tuesday,November,2022
20220521,2022-05-21,Saturday,May,2022
20220116,2022-01-16,Sunday,January,2022
20220408,2022-04-08,Friday,April,2022
20220721,2022-07-21,Thursday,July,2022
20221204,2022-12-04,Sunday,December,2022
20220423,2022-04-23,Saturday,April,2022
20220521,2022-05-21,Saturday,May,2022
20220103,2022-01-03,Monday,January,2022
20220226,2022-02-26,Saturday,February,2022
20220524,2022-05-24,Tuesday,May,2022
20221221,2022-12-21,Wednesday,December,2022
20221226,2022-12-26,Monday,December,2022
20221129,2022-11-29,Tuesday,November,2022
20220803,2022-08-03,Wednesday,August,2022
20220724,2022-07-24,Sunday,July,2022
20221223,2022-12-23,Friday,December,2022
20220521,2022-05-21,Saturday,May,2022
20220104,2022-01-04,Tuesday,January,2022
20221219,2022-12-19,Monday,December,2022
20220920,2022-09-20,Tuesday,September,2022
20221105,2022-11-05,Saturday,November,2022
20220818,2022-08-18,Thursday,August,2022
20220107,2022-01-07,Friday,January,2022
20220715,2022-07-15,Friday,July,2022
20221030,2022-10-30,Sunday,October,2022
20220223,2022-02-23,Wednesday,February,2022
20220512,2022-05-12,Thursday,May,2022
20221026,2022-10-26,Wednesday,October,2022
20220523,2022-05-23,Monday,May,2022
20220505,2022-05-05,Thursday,May,2022
20220821,2022-08-21,Sunday,August,2022
20220405,2022-04-05,Tuesday,April,2022
20221009,2022-10-09,Sunday,October,2022
20220331,2022-03-31,Thursday,March,2022
20220815,2022-08-15,Monday,August,2022
20221030,2022-10-30,Sunday,October,2022
20220619,2022-06-19,Sunday,June,2022
20220617,2022-06-17,Friday,June,2022
20220517,2022-05-17,Tuesday,May,2022
20220731,2022-07-31,Sunday,July,2022
20221113,2022-11-13,Sunday,November,2022
20220129,2022-01-29,Saturday,January,2022
20220222,2022-02-22,Tuesday,February,2022
20221207,2022-12-07,Wednesday,December,2022
20220823,2022-08-23,Tuesday,August,2022
20220317,2022-03-17,Thursday,March,2022
20220214,2022-02-14,Monday,February,2022
20220123,2022-01-23,Sunday,January,2022
20221001,2022-10-01,Saturday,October,2022
20221117,2022-11-17,Thursday,November,2022
