order_id,order_date,customer_id,total_amount
5784,2022-12-23,158,59.48
3255,2022-10-13,67,463.96
3964,2022-06-07,69,121.52
3694,2022-09-17,737,40.57
7127,2022-03-10,491,20.62
3341,2022-02-04,21,232.71
3133,2022-05-30,304,122.96
5326,2022-04-17,462,397.14
8097,2022-05-29,995,491.88
7234,2022-02-16,370,448.33
1948,2022-03-21,739,320.52
2465,2022-10-02,187,66.53
8519,2022-07-14,90,243.79
4970,2022-08-30,472,205.11
3674,2022-04-16,945,399.4
9789,2022-10-26,595,457.58
6001,2022-03-10,717,394.07
5037,2022-02-22,580,287.03
5319,2022-03-19,589,329.98
4103,2022-07-11,997,427.74
5621,2022-09-09,113,493.26
1086,2022-09-30,482,449.01
2605,2022-07-30,371,72.01
1552,2022-10-16,179,371.96
4083,2022-08-03,468,342.82
5996,2022-06-27,667,450.45
6033,2022-10-25,40,32.63
7266,2022-08-30,256,484.69
1537,2022-12-03,44,363.89
2984,2022-10-06,315,160.99
7749,2022-04-20,401,255.31
3161,2022-07-16,140,270.18
7237,2022-08-05,269,90.42
9261,2022-05-11,834,121.41
8539,2022-09-14,535,382.55
2248,2022-08-26,888,497.8
8823,2022-10-02,858,299.42
8244,2022-08-07,618,178.86
1394,2022-03-22,382,86.47
5637,2022-05-01,612,347.8
2515,2022-11-28,373,303.41
4794,2022-08-27,828,233.02
1064,2022-12-23,362,360.57
9602,2022-06-03,587,80.26
2278,2022-09-09,881,300.64
4165,2022-05-30,610,274.91
1019,2022-04-08,297,236.24
9809,2022-02-18,381,139.44
7739,2022-05-11,985,316.14
7765,2022-11-24,946,319.57
7280,2022-07-28,535,354.11
1482,2022-11-08,471,64.53
2987,2022-08-29,401,32.62
7170,2022-08-03,662,86.9
7025,2022-08-13,394,382.6
1110,2022-06-20,613,218.35
5773,2022-03-03,64,415.5
4423,2022-03-20,5,84.13
9647,2022-07-19,295,181.2
9426,2022-10-06,549,154.24
9903,2022-05-04,42,98.45
1910,2022-01-23,842,313.68
4350,2022-04-07,609,485.93
5935,2022-02-07,983,29.56
6923,2022-02-09,556,425.5
2338,2022-12-08,738,328.52
1302,2022-08-07,908,183.77
1493,2022-07-20,985,381.2
9688,2022-02-18,68,196.68
9922,2022-06-18,657,265.87
5383,2022-07-16,283,488.54
8500,2022-12-03,339,352.82
7319,2022-11-23,644,34.18
4010,2022-03-28,573,148.29
5313,2022-04-04,7,477.95
3545,2022-10-07,206,81.68
6432,2022-02-10,27,105.04
6227,2022-04-26,190,267.68
8660,2022-12-10,64,57.42
2952,2022-09-25,485,177.97
5287,2022-02-21,498,389.68
7877,2022-01-02,178,77.98
3305,2022-12-16,577,247.88
1996,2022-08-09,931,392.76
4814,2022-02-14,386,292.36
7831,2022-04-06,45,294.37
9831,2022-04-09,868,212.41
9987,2022-10-03,461,236.04
3893,2022-05-20,473,431.88
7809,2022-09-08,197,226.71
3281,2022-06-18,578,149.19
3193,2022-12-14,549,317.05
9731,2022-05-09,68,248.21
3245,2022-10-29,240,476.06
5518,2022-07-16,198,113.72
8389,2022-10-17,672,169.33
7694,2022-03-07,687,115.6
9228,2022-09-26,825,98.71
5549,2022-06-03,364,467.93
5520,2022-05-18,242,66.89
9801,2022-10-02,909,432.06
4883,2022-01-18,53,464.1
4140,2022-03-14,509,71.87
2054,2022-03-28,634,373.11
6805,2022-09-25,645,37.09
9715,2022-08-27,354,340.65
5012,2022-12-16,506,489.22
1334,2022-06-17,618,54.97
